"","mascot","name"
"210","Rusty","Wheat Chex"
"211","Shredded Ralston Cowboy","Shredded Ralston"
"212","Shrek, Donkey, and Puss in Boots","Various Shrek themed cereals"
"213","Silly Whabbit","Trix (in some promotional materials)"
"214","Sir Grapefellow","Sir Grapefellow cereal"
"215","Sir Grapefellow and Baron Von Redberry","Sir Grapefellow and Baron Von"
"216","Smaxey the Seal","Smaxey cereals"
"217","Smokey the Bear","Smokey the Bear Cereal"
"218","Snap, Crackle, and Pop","Rice Krispies"
"219","So-Hi","Rice Krinkles"
"220","Sonny the Cuckoo Bird","Cocoa Puffs"
"221","The Crispy Dragons","Crispy Critters"
"222","The Crispy Wheats ‘n Raisins Chef","Crispy Wheats ‘n Raisins"
"223","The Cröonchy Stars Viking","Cröonchy Stars"
"224","The Freakies","Freakies Cereal"
"225","The Friendly Ghost","Casper Cereal"
"226","The Fruit Weevil","Post Fruity Pebbles"
"227","The G.I. Joe Team","G.I. Joe Action Stars Cereal"
"228","The Gremlins","Gremlins cereal"
"229","The Honey Monster","Sugar Puffs (UK)"
"230","The Honey Nut Cheerios Bee","Different from BuzzBee, from earlier campaigns"
"231","The Jets’ Family","The Jetsons cereal"
"232","The Little Sprout","Green Giant Puffs"
"233","The Magic Hat","Wizard of Oats"
"234","The Nerds","Nerds cereal"
"235","The Nerds Duo","Nerds cereal"
"236","The Nerds Mascots","Nerds Cereal (in addition to the mentioned Nerds duo)"
"237","The Orange Moose","Munch’ems"
"238","The Poppin’ Fresh Doughboy","Doughboy Cereal"
"239","The Raisin Bran Sun","Raisin Bran"
"240","The Sea Captain","Sea Adventures Cereal"
"241","The Singing Bakers","Baker’s Complete"
"242","The Smurf","Smurf-Berry Crunch & Smurf Magic Berries"
"243","The Space Alien","Marshmallow Krispies promotions"
"244","The Teenage Mutant Ninja Turtles","TMNT Cereal"
"245","The Trix Rabbit’s Adversaries","Various Trix promotions"
"246","Tiger Power Tiger","Tiger Power Cereal"
"247","Timon and Pumbaa","Timon & Pumbaa’s Jungle Cereal"
"248","Tiny Kong","Donkey Kong Cereal promotions"
"249","Tom and Jerry","Tom & Jerry cereal"
"250","Tony the Tiger","Frosted Flakes"
"251","Toucan Sam","Froot Loops"
"252","Toucan Sam’s Nephews","Froot Loops promotions"
"253","Trix Rabbit","Trix"
"254","Tusk the Elephant","Fruit Island"
"255","Tusk the Elephant’s Friends","Fruit Islands Cereal"
"256","Waffelos Bill","Waffelos Cereal"
"257","Waffle O’s Bill & Waffle O’s Gang","Waffle-O’s"
"258","Waffle the Cow","Waffelos cereal"
"259","Waldo the Wizard","Lucky Charms (short-lived before Lucky)"
"260","Wally Bear","Wally Bear Cereal"
"261","Wally Whale","Wally Whale’s Cereal"
"262","Weetabix Bunch","Weetabix cereal"
"263","Wendell","Cinnamon Toast Crunch"
"264","Wendell the Baker","Cinnamon Toast Crunch (before the trio became more prominent)"
"265","Wendy Witch","Fruit Wheats"
"266","Willie the Wolf","Wheat Honeys & Rice Honeys"
"267","Yogi Bear","Yogi Bear’s Cereal"
